index,data,seed,e,kappa,cl_ml_ratio,ml_sat,ml_unsat,cl_sat,cl_unsat,lambda_minus,lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_slvr_status,p2_clause_gen,p2_solver,p2_total,total_time,final_slvr_status,total_slvr_time,obj_value
972,target,3556,0.1,0.7,1,273.0,0.0,266.0,0.0,650,164,1.0,OPTIMUM,0.89692,2.97071,4.04655,OPTIMUM,0.82392,3.78469,8.48591,12.53246,OPTIMUM,6.7554,486
976,target,3556,0.1,1.0,1,375.0,0.0,395.0,0.0,650,164,1.0,OPTIMUM,0.86272,2.57235,3.71197,OPTIMUM,0.82846,3.90653,8.53263,12.2446,OPTIMUM,6.47888,486
980,target,3556,0.1,1.5,1,564.0,0.0,591.0,0.0,650,164,1.0,OPTIMUM,0.86891,2.5487,3.69941,OPTIMUM,0.86001,1.53877,5.84906,9.54847,OPTIMUM,4.08747,486
984,target,3556,0.1,1.75,1,651.0,0.0,696.0,0.0,650,164,1.0,OPTIMUM,0.85331,2.31695,3.35967,OPTIMUM,0.83767,1.55331,5.65979,9.01946,OPTIMUM,3.87026,486
988,target,3556,0.1,2.0,1,745.0,0.0,795.0,0.0,650,164,1.0,OPTIMUM,0.88392,2.35972,3.42487,OPTIMUM,0.84133,2.94873,6.99699,10.42186,OPTIMUM,5.30845,486
992,wine,3556,0.1,0.1,1,3.0,0.0,14.0,0.0,1178,71,0.864947827,OPTIMUM,0.11926,0.1626,0.30423,OPTIMUM,0.12189,0.82344,3.57169,3.87592,OPTIMUM,0.98604,1107
996,wine,3556,0.1,0.25,1,10.0,0.0,34.0,0.0,1178,71,0.881906031,OPTIMUM,0.11731,0.3427,0.48973,OPTIMUM,0.12718,1.09838,2.35572,2.84545,OPTIMUM,1.44108,1107
1000,wine,3556,0.1,0.5,1,27.0,0.0,62.0,0.0,1178,71,0.882058482,OPTIMUM,0.11769,0.85665,1.0044,OPTIMUM,0.12083,0.89303,1.29368,2.29808,OPTIMUM,1.74968,1107
1004,wine,3556,0.1,0.7,1,42.0,0.0,82.0,0.0,1217,71,0.913357799,OPTIMUM,0.11805,0.76702,0.9095,OPTIMUM,0.12384,1.6973,1.93734,2.84684,OPTIMUM,2.46432,1146
1008,wine,3556,0.1,1.0,1,62.0,0.0,116.0,0.0,1275,71,0.965051622,OPTIMUM,0.11642,0.50413,0.65423,OPTIMUM,0.12508,1.17596,1.39869,2.05292,OPTIMUM,1.68009,1204
1012,wine,3556,0.1,1.5,1,98.0,0.0,169.0,0.0,1275,71,0.981691113,OPTIMUM,0.12181,0.38917,0.54656,OPTIMUM,0.12211,0.92211,1.16673,1.71329,OPTIMUM,1.31128,1204
1016,wine,3556,0.1,1.75,1,118.0,0.0,193.0,0.0,1275,71,0.981691113,OPTIMUM,0.11812,0.4609,0.60641,OPTIMUM,0.12378,0.27951,0.50623,1.11264,OPTIMUM,0.74041,1204
1020,wine,3556,0.1,2.0,1,131.0,0.0,225.0,0.0,1275,71,0.981691113,OPTIMUM,0.11542,0.29311,0.43787,OPTIMUM,0.12225,0.26789,0.50426,0.94213,OPTIMUM,0.561,1204
1024,wingnut,3556,0.1,0.1,1,55.0,0.0,46.0,0.0,1094,67,1.0,OPTIMUM,0.19397,0.20133,0.44378,OPTIMUM,0.20479,1.15469,22.34441,22.78819,OPTIMUM,1.35602,1027
1028,wingnut,3556,0.1,0.25,1,131.0,0.0,123.0,0.0,1094,67,1.0,OPTIMUM,0.2017,0.19403,0.43587,OPTIMUM,0.20233,0.3299,5.71939,6.15526,OPTIMUM,0.52393,1027
1032,wingnut,3556,0.1,0.5,1,256.0,0.0,252.0,0.0,1094,67,1.0,OPTIMUM,0.19941,0.18708,0.43297,OPTIMUM,0.20241,0.32326,4.88304,5.31601,OPTIMUM,0.51034,1027
1036,wingnut,3556,0.1,0.7,1,351.0,0.0,360.0,0.0,1094,67,1.0,OPTIMUM,0.19716,0.17145,0.40875,OPTIMUM,0.20481,0.31261,4.73161,5.14036,OPTIMUM,0.48406,1027
1040,wingnut,3556,0.1,1.0,1,499.0,0.0,517.0,0.0,1094,67,1.0,OPTIMUM,0.20131,0.17502,0.41898,OPTIMUM,0.20514,0.26557,2.43144,2.85042,OPTIMUM,0.44059,1027
1044,wingnut,3556,0.1,1.5,1,743.0,0.0,781.0,0.0,1094,67,1.0,OPTIMUM,0.20277,0.16316,0.41379,OPTIMUM,0.1989,0.15634,2.00443,2.41822,OPTIMUM,0.3195,1027
1048,wingnut,3556,0.1,1.75,1,866.0,0.0,912.0,0.0,1094,67,1.0,OPTIMUM,0.2048,0.17467,0.43687,OPTIMUM,0.20267,0.15428,1.99594,2.43281,OPTIMUM,0.32895,1027
1052,wingnut,3556,0.1,2.0,1,991.0,0.0,1041.0,0.0,1094,67,1.0,OPTIMUM,0.1994,0.16558,0.42499,OPTIMUM,0.20478,0.15234,1.99682,2.42181,OPTIMUM,0.31792,1027
1056,chainlink,1732,0.1,0.0,1,,,,,928,16,0.12302785,,,,,OPTIMUM,66.54754,4.25169,72.11796,72.11796,OPTIMUM,4.25169,912
1057,glass,1732,0.1,0.0,1,,,,,1056,276,0.217152029,,,,,OPTIMUM,1.78344,7.37161,9.37476,9.37476,OPTIMUM,7.37161,780
1058,ionosphere,1732,0.1,0.0,1,,,,,3574,2370,0.00900208,,,,,OPTIMUM,3.75499,16.01558,20.02238,20.02238,OPTIMUM,16.01558,1204
1059,iris,1732,0.1,0.0,1,,,,,726,32,0.599132294,,,,,OPTIMUM,0.53431,1.09376,1.69331,1.69331,OPTIMUM,1.09376,694
1060,libras,1732,0.1,0.0,1,,,,,2739,167,0.168572735,,,,,SATISFIABLE,15.19827,900.069,917.3386,917.3386,SATISFIABLE,900.069,2572
1061,lsun,1732,0.1,0.0,1,,,,,619,33,0.415584395,,,,,OPTIMUM,5.26863,1.93601,7.48385,7.48385,OPTIMUM,1.93601,586
1062,seeds,1732,0.1,0.0,1,,,,,896,67,0.695013086,,,,,OPTIMUM,1.16201,2.52566,3.78454,3.78454,OPTIMUM,2.52566,829
1063,spam,1732,0.1,0.0,1,,,,,2432,1355,0.000233758,,,,,OPTIMUM,7457.83516,249.96985,7751.65807,7751.65807,OPTIMUM,249.96985,1077
1064,target,1732,0.1,0.0,1,,,,,492,14,0.344415238,,,,,OPTIMUM,40.94072,10.15739,52.98845,52.98845,OPTIMUM,10.15739,478
1065,wine,1732,0.1,0.0,1,,,,,1273,387,-0.003819345,,,,,OPTIMUM,0.89809,2.655,3.63336,3.63336,OPTIMUM,2.655,886
1066,wingnut,1732,0.1,0.0,1,,,,,1094,67,1.0,,,,,OPTIMUM,80.13242,3.57813,85.05657,85.05657,OPTIMUM,3.57813,1027
1067,chainlink,2352,0.1,0.0,1,,,,,928,16,0.12302785,,,,,OPTIMUM,66.54754,4.25169,72.11796,72.11796,OPTIMUM,4.25169,912
1068,glass,2352,0.1,0.0,1,,,,,1056,276,0.217152029,,,,,OPTIMUM,1.78344,7.37161,9.37476,9.37476,OPTIMUM,7.37161,780
1069,ionosphere,2352,0.1,0.0,1,,,,,3574,2370,0.00900208,,,,,OPTIMUM,3.75499,16.01558,20.02238,20.02238,OPTIMUM,16.01558,1204
1070,iris,2352,0.1,0.0,1,,,,,726,32,0.599132294,,,,,OPTIMUM,0.53431,1.09376,1.69331,1.69331,OPTIMUM,1.09376,694
1071,libras,2352,0.1,0.0,1,,,,,2739,167,0.168572735,,,,,SATISFIABLE,15.19827,900.069,917.3386,917.3386,SATISFIABLE,900.069,2572
1072,lsun,2352,0.1,0.0,1,,,,,619,33,0.415584395,,,,,OPTIMUM,5.26863,1.93601,7.48385,7.48385,OPTIMUM,1.93601,586
1073,seeds,2352,0.1,0.0,1,,,,,896,67,0.695013086,,,,,OPTIMUM,1.16201,2.52566,3.78454,3.78454,OPTIMUM,2.52566,829
1074,spam,2352,0.1,0.0,1,,,,,2432,1355,0.000233758,,,,,OPTIMUM,7457.83516,249.96985,7751.65807,7751.65807,OPTIMUM,249.96985,1077
1075,target,2352,0.1,0.0,1,,,,,492,14,0.344415238,,,,,OPTIMUM,40.94072,10.15739,52.98845,52.98845,OPTIMUM,10.15739,478
1076,wine,2352,0.1,0.0,1,,,,,1273,387,-0.003819345,,,,,OPTIMUM,0.89809,2.655,3.63336,3.63336,OPTIMUM,2.655,886
1077,wingnut,2352,0.1,0.0,1,,,,,1094,67,1.0,,,,,OPTIMUM,80.13242,3.57813,85.05657,85.05657,OPTIMUM,3.57813,1027
1078,chainlink,3556,0.1,0.0,1,,,,,928,16,0.12302785,,,,,OPTIMUM,66.54754,4.25169,72.11796,72.11796,OPTIMUM,4.25169,912
1079,glass,3556,0.1,0.0,1,,,,,1056,276,0.217152029,,,,,OPTIMUM,1.78344,7.37161,9.37476,9.37476,OPTIMUM,7.37161,780
1080,ionosphere,3556,0.1,0.0,1,,,,,3574,2370,0.00900208,,,,,OPTIMUM,3.75499,16.01558,20.02238,20.02238,OPTIMUM,16.01558,1204
1081,iris,3556,0.1,0.0,1,,,,,726,32,0.599132294,,,,,OPTIMUM,0.53431,1.09376,1.69331,1.69331,OPTIMUM,1.09376,694
1082,libras,3556,0.1,0.0,1,,,,,2739,167,0.168572735,,,,,SATISFIABLE,15.19827,900.069,917.3386,917.3386,SATISFIABLE,900.069,2572
1083,lsun,3556,0.1,0.0,1,,,,,619,33,0.415584395,,,,,OPTIMUM,5.26863,1.93601,7.48385,7.48385,OPTIMUM,1.93601,586
1084,seeds,3556,0.1,0.0,1,,,,,896,67,0.695013086,,,,,OPTIMUM,1.16201,2.52566,3.78454,3.78454,OPTIMUM,2.52566,829
1085,spam,3556,0.1,0.0,1,,,,,2432,1355,0.000233758,,,,,OPTIMUM,7457.83516,249.96985,7751.65807,7751.65807,OPTIMUM,249.96985,1077
1086,target,3556,0.1,0.0,1,,,,,492,14,0.344415238,,,,,OPTIMUM,40.94072,10.15739,52.98845,52.98845,OPTIMUM,10.15739,478
1087,wine,3556,0.1,0.0,1,,,,,1273,387,-0.003819345,,,,,OPTIMUM,0.89809,2.655,3.63336,3.63336,OPTIMUM,2.655,886
1088,wingnut,3556,0.1,0.0,1,,,,,1094,67,1.0,,,,,OPTIMUM,80.13242,3.57813,85.05657,85.05657,OPTIMUM,3.57813,1027
